Restaurent name,Cuisine types,Rating,Price,Distance,Location
McDonald's,"Burger, Fast Food, Beverages, Cafe",4.0,₹500 for two,2.7 km,"Civil Lines, Agra"
Fat Tiger,"North Indian, Rolls, Momos, Desserts, Shake, Coffee, Beverages",3.6,"₹1,100 for two",3.1 km,"Civil Lines, Agra"
La' Chef Multicuisine Restaurant,"North Indian, Chinese, Kebab, South Indian, Continental, Ice Cream, Beverages",-,"₹1,200 for two",7.2 km,"Sikandra, Agra"
Lord Of The Drinks,"European, Chinese, North Indian, Italian",4.1,"₹1,800 for two",4.8 km,"Tajganj, Agra"
Ghoomar Traditional Thali Restaurant,"North Indian, Rajasthani",3.3,"₹1,000 for two",4 km,"Khandari, Agra"
Hotel Moti Palace - Pankhuri Restaurant,"North Indian, Chinese, Continental, South Indian, Desserts, Beverages",4.2,"₹1,000 for two",1.4 km,"Rakabganj, Agra"
Dasaprakash,"South Indian, North Indian, Continental, Chinese, Beverages",3.8,₹800 for two,4.8 km,"Tajganj, Agra"
The Ivory Kitchen,"North Indian, Chinese, Pasta, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,"₹1,100 for two",2.5 km,"Agra Cantt, Agra"
Spiced Brew,"Cafe, Continental, Burger, Sandwich, Fast Food, Beverages, Salad, Healthy Food",4.9,₹800 for two,3.6 km,"Khandari, Agra"
Fat Boys Cafe,"Sandwich, Pizza, Fast Food, Chinese, Momos, Pancake, Shake, Beverages",3.7,₹400 for two,2.3 km,"Agra Cantt, Agra"
Haldiram's,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai, Beverages",4.2,₹400 for two,4 km,"Khandari, Agra"
Newcastle Cafe & Restaurant,"North Indian, Fast Food, Chinese, Kebab, Sushi, Seafood, Pizza, Pasta",4.4,"₹1,100 for two",5.8 km,"Sikandra, Agra"
Food Adda,"Burger, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,₹400 for two,5.4 km,"Khandari, Agra"
The Mud Cafe,"Sandwich, Momos, Burger, Fast Food, Beverages, Desserts",3.3,₹700 for two,2.6 km,"Civil Lines, Agra"
Raj Rasoi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, Shake",4.2,₹600 for two,2.6 km,"Civil Lines, Agra"
Sour N Spicy,"North Indian, Chinese, Street Food, Beverages, Desserts",3.9,"₹1,000 for two",2.2 km,"Tajganj, Agra"
Bellevue - The Oberoi Amarvilas,"North Indian, Continental, Desserts",4.2,"₹4,500 for two",3.3 km,"The Oberoi Amarvilas, Tajganj, Agra"
North 27,"North Indian, Chinese, Continental, Oriental, Fast Food, Mughlai, Beverages, Desserts",4.0,"₹3,800 for two",4.3 km,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra"
Delhi 6,"North Indian, Street Food",4.1,₹150 for two,2.7 km,"Civil Lines, Agra"
Bhagat Halwai,"Mithai, Street Food, Pizza, Sandwich, Chinese, South Indian, Shake, Beverages",4.1,₹300 for two,3.3 km,"Civil Lines, Agra"
The Curry Station,"North Indian, Chinese, Mughlai",3.9,₹600 for two,3.2 km,"Lohamandi, Agra"
Chokho Jeeman Marwari Jain Bhojanalya,Rajasthani,4.3,₹400 for two,2.7 km,"Civil Lines, Agra"
Hotel Orange,"Chinese, North Indian, Mughlai, Biryani, Desserts, Beverages",4.6,"₹1,200 for two",1.8 km,"Rakabganj, Agra"
Lattice - Grand Mercure (An Accor Hotel),"North Indian, Continental, Chinese",3.9,"₹1,000 for two",3.8 km,"Crystal Sarovar Premier, Tajganj, Agra"
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",3.9,₹500 for two,2.7 km,"Civil Lines, Agra"
Xero Degrees,"Cafe, Coffee, Beverages, Continental, Sandwich, Fast Food, Salad, Waffle",3.2,"₹1,000 for two",3.1 km,"Khandari, Agra"
Azuri,"North Indian, Chinese, Italian, Fast Food, Juices, Beverages",-,₹700 for two,3.5 km,"Kamla Nagar, Agra"
Sky Train Restaurant,"North Indian, Chinese, Fast Food, Beverages",4.1,₹800 for two,7 km,"Sikandra, Agra"
New Pizza King,"Pizza, Fast Food",3.8,₹500 for two,4.1 km,"Dayal Bagh, Agra"
UP 80 Resturant,"North Indian, Chinese, South Indian, Fast Food",3.9,₹200 for two,5.8 km,"Dayal Bagh, Agra"
GMB - Gopika Sweets & Restaurant,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai",3.8,₹500 for two,2.7 km,"Tajganj, Agra"
AAAAR RESTRO,"Pizza, Fast Food",3.3,₹300 for two,3.7 km,"Kamla Nagar, Agra"
Aahar,"North Indian, South Indian, Chinese, Bakery, Continental, Desserts, Beverages",4.0,₹700 for two,2.7 km,"Civil Lines, Agra"
Bikaner Express,"North Indian, South Indian, Chinese, Street Food, Beverages",3.5,₹600 for two,3.6 km,"Kamla Nagar, Agra"
Achman Foods,"North Indian, South Indian, Street Food, Desserts, Beverages",4.1,₹400 for two,3.7 km,"Khandari, Agra"
Sheroes Hangout,"North Indian, Chinese, Fast Food",4.7,₹600 for two,4.1 km,"Tajganj, Agra"
Deviram Food Circle,"Mithai, Fast Food, Street Food, North Indian, Desserts, Shake",3.9,₹300 for two,7.2 km,"Sikandra, Agra"
Berco's - If You Love Chinese,"Chinese, Thai, Asian",4.3,"₹1,400 for two",2.5 km,"Civil Lines, Agra"
Pizza Cafe,"Pizza, Fast Food, Street Food, Desserts",New,₹400 for two,4.8 km,"Kamla Nagar, Agra"
Burger Farm,"Burger, Wraps, Fast Food, Beverages",-,₹900 for two,4.3 km,"Tajganj, Agra"
Capri Restaurant,"North Indian, Mughlai",3.5,₹850 for two,2.7 km,"Civil Lines, Agra"
The Mud Shakes,"Beverages, Shake, Waffle, Fast Food",4.1,₹200 for two,2.7 km,"Khandari, Agra"
Hello Anna,"South Indian, Chinese, Fast Food, Street Food, Ice Cream, Shake",3.0,"₹1,000 for two",6.2 km,"Sikandra, Agra"
The Indian Curry,"North Indian, Chinese, Oriental, Continental, Desserts, Beverages",3.9,"₹1,800 for two",3.1 km,"Kamla Nagar, Agra"
Subway,"Healthy Food, Sandwich, Fast Food, Wraps, Salad, Beverages",3.9,₹400 for two,3.2 km,"Civil Lines, Agra"
The Mughal Room - Hotel Clarks Shiraz,"North Indian, Mughlai, Chinese, Beverages, Desserts",4.3,"₹2,600 for two",2.4 km,"Hotel Clarks Shiraz, Agra Cantt, Agra"
Taj Terrace - Hotel Taj Resorts,"North Indian, Continental, Chinese, Beverages, Desserts, Shake",4.2,"₹1,000 for two",3.3 km,"Tajganj, Agra"
Eight Herbs Café,"Cafe, Fast Food, Sandwich, Burger, Pizza, Momos, Waffle, Beverages",-,₹900 for two,2.6 km,"Civil Lines, Agra"
Fakira,"North Indian, Chinese, Continental, Fast Food, Beverages",4.2,"₹2,200 for two",5.6 km,"Lohamandi, Agra"
The Sky Restaurant,"North Indian, Chinese",3.9,₹800 for two,7 km,"Sikandra, Agra"
Burger King,"Burger, Fast Food, Beverages",3.8,₹350 for two,4 km,"Khandari, Agra"
Manoj Dhaba,North Indian,3.9,₹500 for two,3.8 km,"Dayal Bagh, Agra"
Retro Thrill Cafe,"Fast Food, Pizza, Burger, Rolls, Chinese, North Indian, Biryani, Beverages",3.9,₹800 for two,5.8 km,"Sikandra, Agra"
Pushpak Misthan Bhandar and Sweet,"Mithai, Street Food",4.4,₹100 for two,1.3 km,"Mantola, Agra"
Gopaldas Pethe Wale,"Mithai, Street Food",3.5,₹250 for two,3.5 km,"Tajganj, Agra"
The Waffle Co.,"Waffle, Sandwich, Bakery, Shake, Coffee, Beverages",New,₹400 for two,2.5 km,"Civil Lines, Agra"
Henry's The English Pub - Radisson Hotel Agra,"Continental, Fast Food, Desserts",3.9,"₹3,400 for two",4.2 km,"Radisson Hotel Agra, Tajganj, Agra"
Starbucks Coffee,"Cafe, Coffee, Fast Food",-,₹900 for two,4.3 km,"Tajganj, Agra"
Deviram Sweets & Restaurant,"Mithai, North Indian, Fast Food, Beverages, Desserts, South Indian",4.2,₹650 for two,1.8 km,"Rakabganj, Agra"
Sardar G Malai Chaap Junction,"North Indian, Rolls, Momos",3.8,₹300 for two,2.6 km,"Civil Lines, Agra"
Mughal Pavilion - ITC Mughal,"North Indian, Chinese, Continental",4.0,"₹2,500 for two",3.1 km,"ITC Mughal, Tajganj, Agra"
De Eros Cafe,"Cafe, Coffee",-,₹300 for two,4.9 km,"Shahganj, Agra"
Manoj Restaurant,"South Indian, Chinese, North Indian",4.1,₹300 for two,546 m,"Mantola, Agra"
Merry Go Round,"North Indian, Chinese, Continental, Fast Food",3.0,"₹1,300 for two",4.5 km,"Hotel Pushp Villa, Tajganj, Agra"
Cake Wala,Bakery,3.6,₹300 for two,2.7 km,"Agra Cantt, Agra"
Temptation,"North Indian, Chinese, Fast Food",4.1,"₹1,000 for two",3.8 km,"Kamla Nagar, Agra"
Om Restaurant,"North Indian, Beverages",3.6,₹400 for two,2.5 km,"Agra Cantt, Agra"
Papa Ji Da Dhaba,North Indian,4.2,₹250 for two,2.7 km,"Civil Lines, Agra"
Theobroma,"Bakery, Desserts",-,₹300 for two,3.2 km,"Khandari, Agra"
Sarpanch,"North Indian, South Indian, Fast Food, Chinese, Coffee, Ice Cream",-,₹600 for two,2.8 km,"Civil Lines, Agra"
Dasaprakash - A South Indian Cafe,South Indian,3.3,₹800 for two,2.7 km,"Tajganj, Agra"
Golden China Restaurant,"Chinese, Rolls, North Indian, Mughlai, Biryani, Italian, Desserts, Beverages",3.7,"₹1,000 for two",3.5 km,"Tajganj, Agra"
Brijwasi  Sweets & Restaurant,"Mithai, North Indian, South Indian, Fast Food, Shake",3.7,₹350 for two,2.4 km,"Civil Lines, Agra"
Bhoji,"North Indian, Fast Food, Burger, Shake",3.7,₹350 for two,4 km,"Shahganj, Agra"
The Forest,"North Indian, Italian, Chinese",4.0,₹800 for two,5.5 km,"Sikandra, Agra"
Chatora Station Restaurant,"North Indian, Chinese, Fast Food, Mughlai",3.9,₹400 for two,5.6 km,"Gopal Pura, Agra"
Udupi Brindavan Vegetarian Restaurant,"South Indian, North Indian, Chinese",-,₹900 for two,3.3 km,"Kamla Nagar, Agra"
Australian Cafe Pizza,"Pizza, Burger, Fast Food",4.2,₹400 for two,3.9 km,"Shahganj, Agra"
Chimmanlal Puri Wale,"North Indian, Street Food, Mithai",3.8,₹300 for two,417 m,"Mantola, Agra"
Infini – The Sky Lounge - Taj Hotel & Convention Centre,"North Indian, Fast Food, Finger Food, Beverages",4.0,"₹2,800 for two",4.3 km,"Taj Hotel & Convention Centre, Tajganj, Agra"
Bhagat Halwai,"Mithai, North Indian, Street Food, Fast Food, Beverages",4.0,₹400 for two,4 km,"Shahganj, Agra"
Deepee,"South Indian, Continental, Ice Cream, Beverages, Fast Food",3.7,₹800 for two,1.7 km,"Rakabganj, Agra"
Wonder Terrace Bar & Kitchen,"North Indian, Continental, Finger Food, Beverages, BBQ",4.0,"₹3,500 for two",4.2 km,"Radisson Hotel Agra, Tajganj, Agra"
The Chapter Kitchen,"North Indian, Continental, Oriental, Pizza, Beverages",4.0,"₹1,200 for two",4 km,"Khandari, Agra"
Amritsari Kulcha Junction,"North Indian, Chinese, Rolls, Beverages",3.7,₹500 for two,2.7 km,"Civil Lines, Agra"
Maikhana – ITC Mughal,Finger Food,4.1,"₹2,000 for two",3.2 km,"ITC Mughal, Tajganj, Agra"
Masala Handi,"North Indian, Chinese, Fast Food, South Indian, Desserts",3.0,₹400 for two,2.7 km,"Civil Lines, Agra"
Romo's Bistro,"North Indian, Chinese, Fast Food, Momos, Rolls",2.7,₹600 for two,3.6 km,"Khandari, Agra"
Peshawri - ITC Mughal,"North Indian, Mughlai",4.5,"₹6,000 for two",3.2 km,"ITC Mughal, Tajganj, Agra"
Star Ultimate Pizza,"Fast Food, Pasta, Beverages",4.0,₹400 for two,3.3 km,"Tajganj, Agra"
Plush Bar,"Continental, Fast Food",3.9,"₹2,700 for two",4.3 km,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra"
Gifi,"Burger, Sandwich, Fast Food, Waffle, Desserts, Shake, Beverages",New,₹300 for two,4.7 km,"Tajganj, Agra"
Tealogy,"Beverages, Shake, Sandwich, Fast Food, Street Food",4.6,₹400 for two,2.7 km,"Civil Lines, Agra"
Meet N Eat Onwheel,"North Indian, Chinese, Burger, Fast Food",-,₹300 for two,5.9 km,"Dayal Bagh, Agra"
New Agra Fast Food & Restaurant,"North Indian, South Indian",3.7,₹250 for two,3.3 km,"Tajganj, Agra"
Pizza King,"Pizza, Fast Food",New,₹450 for two,4.1 km,"Tajganj, Agra"
Costa Coffee,"Cafe, Coffee, Beverages, Bakery, Desserts",-,₹800 for two,3 km,"Civil Lines, Agra"
Cremeborne - Ice Creams and Desserts,"Bakery, Waffle, Ice Cream, Coffee, Shake",4.0,₹500 for two,4.4 km,"Khandari, Agra"
Bikanervala,"Mithai, North Indian, Chinese, South Indian, Fast Food, Desserts, Beverages",4.0,₹700 for two,3.5 km,"Tajganj, Agra"
Bhagat Halwai,"Mithai, Chinese, South Indian, Street Food, Fast Food, Desserts, Bakery",3.8,₹300 for two,4.5 km,"Dayal Bagh, Agra"
Jain Fast Food & Restaurant,"North Indian, South Indian, Chinese, Fast Food",-,₹450 for two,3.8 km,"Trans Yamuna, Agra"
C'est Chine - Jaypee Palace Hotel,Chinese,4.4,"₹2,500 for two",4.4 km,"Jaypee Palace Hotel, Tajganj, Agra"
Charlly Restaurant & Resort,"South Indian, Pizza, Burger, Chinese, Fast Food, Salad, Desserts, Beverages",New,₹300 for two,12.3 km,"Shahganj, Agra"
Bread N Mime Cafe,"Cafe, Fast Food, Burger, North Indian, Street Food, Beverages, Desserts",3.9,₹600 for two,4.4 km,"Tajganj, Agra"
Shree Ram Poori Wale,"North Indian, Street Food",3.8,₹100 for two,5.2 km,"Sikandra, Agra"
Joney's Place,"Biryani, Fast Food, North Indian, Chinese, Beverages",2.6,₹450 for two,2.4 km,"Tajganj, Agra"
MKOP,"Bakery, Desserts, Street Food, Rolls, Beverages",4.3,₹300 for two,2.7 km,"Civil Lines, Agra"
Hippo's Krates Cafe,"Chinese, Momos, Beverages, Fast Food",4.0,₹600 for two,3.7 km,"Tajganj, Agra"
Ram Babu Parathe Wale,"North Indian, South Indian, Chinese, Fast Food, Desserts",3.3,₹400 for two,8.7 km,"Sikandra, Agra"
Agarwal Chat Bhandhar,"Street Food, South Indian",4.1,₹150 for two,4.2 km,"Agra Cantt, Agra"
Bethakk,"Fast Food, Beverages",4.1,₹250 for two,1.3 km,"Rakabganj, Agra"
Al Zameer Restaurant,"North Indian, Mughlai",3.8,₹400 for two,1.9 km,"Mantola, Agra"
Jai Maa Bhawani Bhojanalya,North Indian,3.0,₹200 for two,4.6 km,"Trans Yamuna, Agra"
Bhagat Halwai,"Mithai, North Indian, Momos, Chinese, Street Food, Pizza, Fast Food",3.0,₹400 for two,7 km,"Sikandra, Agra"
Haldiram Food Court,North Indian,3.7,₹200 for two,3.1 km,"Civil Lines, Agra"
Nazeer Foods,"North Indian, Fast Food, Biryani",3.0,₹500 for two,2.8 km,"Civil Lines, Agra"
Pizza Delight Cafe And Restaurant,"Pizza, Fast Food",3.6,₹250 for two,6.3 km,"Trans Yamuna, Agra"
Red Chilli Cafe & Restaurant,"North Indian, Chinese, Street Food, Mughlai, South Indian, Fast Food, Beverages, Desserts",3.5,"₹1,400 for two",2.4 km,"Agra Cantt, Agra"
Maple Restaurant,"North Indian, Chinese, Rolls, Fast Food",3.5,₹500 for two,4 km,"Tajganj, Agra"
Aleem Restaurant,North Indian,-,₹350 for two,2.7 km,"Civil Lines, Agra"
The Restaurant - Trident Hotel,"North Indian, Chinese, Continental",4.2,"₹2,000 for two",4.3 km,"Trident Hotel, Tajganj, Agra"
Welcome Yadav Dhaba,North Indian,3.9,₹300 for two,3.3 km,"Lohamandi, Agra"
Cakery N Bakery,"Bakery, Desserts, Coffee, Sandwich, Fast Food, Burger",3.6,₹500 for two,4 km,"Tajganj, Agra"
Peppers Cafe & Kitchen,"Italian, Chinese, North Indian, Desserts, Shake",-,"₹1,000 for two",7.1 km,"Sikandra, Agra"
Chainess,"Street Food, Sandwich, Fast Food, Tea, Beverages",4.4,₹300 for two,2.8 km,"Civil Lines, Agra"
Gymlicious,"North Indian, Chinese, Fast Food, American, Beverages, Healthy Food",3.3,₹250 for two,4 km,"Khandari, Agra"
Agra Chat Cafe,Street Food,3.7,₹100 for two,2.7 km,"Tajganj, Agra"
Hotel Amar - Noorjahan Restaurant,"Bar Food, Chinese, Continental, South Indian, Fast Food, North Indian, Desserts, Beverages",3.9,₹900 for two,2.5 km,"Hotel Amar, Tajganj, Agra"
The Burger Company,"Burger, Fast Food, Momos, Pizza, Sandwich, Desserts, Beverages, Shake",3.4,₹500 for two,3.7 km,"Khandari, Agra"
Shree Bankey Bihari Misthan Bhandar,"Mithai, Street Food, South Indian, Chinese, Ice Cream, Desserts, Beverages",3.6,₹400 for two,3.6 km,"Trans Yamuna, Agra"
Shree Bankey Bihari Misthan Bhandar,"Mithai, Street Food",3.7,₹300 for two,3.9 km,"Kamla Nagar, Agra"
Brijbhog Misthan Bhandar & Restaurant,Mithai,-,₹200 for two,5.9 km,"Sikandra, Agra"
Urban Dhaba Sethi Wala,"North Indian, Fast Food, Burger, Shake, Beverages",3.5,₹250 for two,4.9 km,"Tajganj, Agra"
Sri Dauji Mishthan Bhandar,"Mithai, North Indian",3.3,₹350 for two,2.4 km,"Civil Lines, Agra"
Pandit Dhaba,North Indian,3.4,₹300 for two,4.6 km,"Dayal Bagh, Agra"
Hyderabadi Dum Biryani Point,"Biryani, Chinese",3.5,₹400 for two,4.4 km,"Arjun Nagar, Agra"
Pizza House Family Restaurant,"South Indian, North Indian, Fast Food, Chinese, Pizza, Beverages",3.0,₹400 for two,5.5 km,"Agra Cantt, Agra"
Udupi Brindavan,"South Indian, North Indian",3.4,₹600 for two,2.7 km,"Tajganj, Agra"
Social Attitude,"North Indian, Fast Food, Healthy Food",3.9,₹400 for two,3.3 km,"Lohamandi, Agra"
Red Grill,"North Indian, Chinese, Mughlai",3.4,₹400 for two,5.5 km,"Dayal Bagh, Agra"
Rockstar Cafe,"Chinese, North Indian, Fast Food, Desserts, Beverages",3.2,₹400 for two,6.3 km,"Kuberpur, Agra"
3C's Cafe,"Fast Food, Beverages, Shake, Burger, Momos, Coffee, Cafe",4.3,₹700 for two,2.7 km,"Civil Lines, Agra"
Cake & More,"Bakery, Fast Food, Ice Cream, Desserts, Beverages",3.5,₹300 for two,2.5 km,"Tajganj, Agra"
Taj Mahal Restaurant,"North Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages",3.2,"₹1,000 for two",3.4 km,"Tajganj, Agra"
Lobby Bar - Holiday Inn,Bar Food,3.9,"₹2,400 for two",2.6 km,"Civil Lines, Agra"
Skydeck - The Gateway Hotel,"North Indian, Chinese, Continental",3.7,"₹5,500 for two",3.1 km,"The Gateway Hotel, Tajganj, Agra"
Pizza In Pizza,"Pizza, Fast Food",-,₹400 for two,8.3 km,"Gopal Pura, Agra"
Churros,"Cafe, Coffee, Bubble Tea, Fast Food, Waffle",New,₹350 for two,3.8 km,"Kamla Nagar, Agra"
Chaska Restaurant,"North Indian, Chinese, South Indian, Desserts, Ice Cream, Pizza, Beverages, Fast Food",3.6,"₹1,000 for two",3.8 km,"Kamla Nagar, Agra"
Agarwal Food Court,"South Indian, Chinese, Fast Food, Street Food, Beverages, North Indian",4.0,₹600 for two,2.5 km,"Agra Cantt, Agra"
Anise,"North Indian, Kebab, Biryani, Desserts",4.5,"₹2,000 for two",4.8 km,"Tajganj, Agra"
The Royal Dining Restaurant,"North Indian, Chinese, Continental, South Indian, Oriental, Desserts, Beverages, Italian",4.6,"₹1,000 for two",4 km,"Tajganj, Agra"
Tareef Restaurant,North Indian,3.1,₹350 for two,1.8 km,"Mantola, Agra"
Chia Taj View Cafe,"Coffee, Fast Food",-,₹500 for two,2.6 km,"Tajganj, Agra"
2ND Wife,"North Indian, Fast Food, Beverages, Shake",3.2,₹250 for two,1.7 km,"Agra Cantt, Agra"
Atlantic Foods,"Bakery, Desserts, Fast Food, Beverages",4.1,₹400 for two,2.7 km,"Civil Lines, Agra"
Public Restaurant,"North Indian, Mughlai",3.4,₹800 for two,4.3 km,"Tajganj, Agra"
Hotel Solitaire,"North Indian, South Indian, Chinese, Desserts, Fast Food",4.1,₹600 for two,2.5 km,"Civil Lines, Agra"
Rambabu Ke Parathe,North Indian,3.9,₹300 for two,6.4 km,"Tajganj, Agra"
Thor The Party World,"North Indian, Continental, Mughlai",-,"₹1,500 for two",5.9 km,"Tajganj, Agra"
Deviram Food Circle,"Mithai, Chinese, South Indian, Street Food, Fast Food",3.0,₹450 for two,4.2 km,"Dayal Bagh, Agra"
Tea'se Coffee - The Tamala Tree,"North Indian, Chinese, Sushi, Salad",-,"₹1,500 for two",4.6 km,"Tajganj, Agra"
D'zurt Cafe,"Cafe, Fast Food, Burger, Sandwich, Wraps, Momos, Desserts, Street Food",4.1,₹800 for two,3.8 km,"Kamla Nagar, Agra"
Sattolala Food Court,"North Indian, Mithai, Fast Food",3.5,₹300 for two,3.4 km,"Shahganj, Agra"
Tipsy Grill,"Burger, Fast Food, Desserts, Waffle, Beverages",3.2,₹400 for two,4.4 km,"Khandari, Agra"
Dev Sagar Hotel And Restaurant,"North Indian, Chinese, Pizza, Fast Food",New,₹300 for two,8.4 km,"Sikandra, Agra"
Shri Tirupati No.1 Family Restaurant,"North Indian, South Indian, Fast Food",4.0,₹300 for two,5.6 km,"Sikandra, Agra"
Veer Ji Malai Chaap Wale,"Chinese, North Indian, Fast Food, Momos, Rolls, Biryani",3.5,₹500 for two,6.6 km,"Sikandra, Agra"
MCD Non Veg King,"North Indian, Chinese, Rolls",-,₹450 for two,3.5 km,"Tajganj, Agra"
Hari Chatni Restaurant,"Chinese, Wraps, Fast Food, North Indian, Mughlai, Biryani",3.9,₹600 for two,3.3 km,"Civil Lines, Agra"
Al Baik,"Fast Food, Burger, Pizza, Sandwich",-,₹400 for two,3.8 km,"Arjun Nagar, Agra"
Biryani & Kebab by Zahid Foods,"North Indian, Biryani, Lebanese, Mughlai, Chinese, Desserts",-,"₹1,000 for two",3.5 km,"Tajganj, Agra"
