Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
One Asia - Indore Marriott Hotel,"Chinese, Asian, Sichuan",4.5,"₹2,000 for two",4.2 km,"Indore Marriott Hotel, Vijay Nagar, Indore",Indore
Adam's Ale,"North Indian, Continental, Chinese, Italian",3.2,"₹1,400 for two",7.5 km,"By Pass Road (North), Indore",Indore
Eden Unplugged,"North Indian, Italian",4.4,"₹1,900 for two",6.8 km,"Vijay Nagar, Indore",Indore
Project Charcoal,"North Indian, Chinese, Biryani, Mughlai, Desserts",3.3,₹500 for two,6.1 km,"By Pass Road (South), Indore",Indore
Taco Bell,"Mexican, Fast Food",3.6,₹500 for two,8.5 km,"By Pass Road (North), Indore",Indore
Crazy Coffee,"Cafe, Coffee, Pizza, Sandwich, Wraps, Desserts, Tea, Shake",4,₹350 for two,4.6 km,"Vijay Nagar, Indore",Indore
Little Monk,North Indian,4,"₹1,000 for two",6.2 km,"MR 10 Road, Indore",Indore
Cafe Palette,"Cafe, Coffee, Fast Food, Healthy Food, Mexican, Italian, Beverages",4,₹800 for two,4.2 km,"Old Palasia, Indore",Indore
S Cafe - Sheraton Grand Palace,"North Indian, South Indian, Continental, Italian, Asian, Desserts, Shake, Beverages",4.2,"₹2,300 for two",9.9 km,"Sheraton Grand Palace, Indore",Indore
Skyhouse,"North Indian, Chinese, Asian, Continental, Italian, Seafood, Salad, Desserts",4.2,"₹2,000 for two",5 km,"Mangal City Mall, Vijay Nagar, Indore",Indore
House Of Butler,"Chinese, Sushi, Pizza, Fast Food, Salad, North Indian, Mughlai, Pasta",3.6,"₹1,200 for two",7.4 km,"By Pass Road (South), Indore",Indore
WOW! China,"Chinese, Oriental, Asian, Sichuan, Seafood, Momos",3.9,₹600 for two,4.8 km,"Vijay Nagar, Indore",Indore
Love Over Coffee,"Cafe, Coffee, Italian, Desserts, Beverages",3.9,₹500 for two,4.8 km,"Vijay Nagar, Indore",Indore
Hoku,Continental,3.9,"₹2,500 for two",8 km,"By Pass Road (North), Indore",Indore
The G.T. Road,"North Indian, Desserts",3.9,"₹2,000 for two",8.4 km,"By Pass Road (North), Indore",Indore
Little Italy,"Italian, Pizza, Pasta",4.4,"₹1,400 for two",4.9 km,"Vijay Nagar, Indore",Indore
Agent Jack's Bar,"Bar Food, Pizza, Kebab, North Indian, Mughlai, Beverages",4.1,"₹1,000 for two",5.2 km,"Vijay Nagar, Indore",Indore
Thyme And Whisk,North Indian,New,"₹1,400 for two",5.8 km,"Vijay Nagar, Indore",Indore
