Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
D'zurt Cafe,"Cafe, Fast Food, Burger, Sandwich, Wraps, Momos, Desserts, Street Food",4.1,₹800 for two,3.8 km,"Kamla Nagar, Agra",Agra
Sattolala Food Court,"North Indian, Mithai, Fast Food",3.5,₹300 for two,3.4 km,"Shahganj, Agra",Agra
Tipsy Grill,"Burger, Fast Food, Desserts, Waffle, Beverages",3.2,₹400 for two,4.4 km,"Khandari, Agra",Agra
Dev Sagar Hotel And Restaurant,"North Indian, Chinese, Pizza, Fast Food",New,₹300 for two,8.4 km,"Sikandra, Agra",Agra
Shri Tirupati No.1 Family Restaurant,"North Indian, South Indian, Fast Food",4,₹300 for two,5.6 km,"Sikandra, Agra",Agra
Veer Ji Malai Chaap Wale,"Chinese, North Indian, Fast Food, Momos, Rolls, Biryani",3.5,₹500 for two,6.6 km,"Sikandra, Agra",Agra
MCD Non Veg King,"North Indian, Chinese, Rolls",-,₹450 for two,3.5 km,"Tajganj, Agra",Agra
Hari Chatni Restaurant,"Chinese, Wraps, Fast Food, North Indian, Mughlai, Biryani",3.9,₹600 for two,3.3 km,"Civil Lines, Agra",Agra
Al Baik,"Fast Food, Burger, Pizza, Sandwich",-,₹400 for two,3.8 km,"Arjun Nagar, Agra",Agra
Biryani & Kebab by Zahid Foods,"North Indian, Biryani, Lebanese, Mughlai, Chinese, Desserts",-,"₹1,000 for two",3.5 km,"Tajganj, Agra",Agra
Goli Vada Pav No. 1,Street Food,4,₹100 for two,7 km,"Sikandra, Agra",Agra
Jain Restaurant,"North Indian, South Indian",4.2,₹500 for two,3.3 km,"Shahganj, Agra",Agra
Mansion- Tapas & CL Club,"North Indian, Asian, Italian, Chinese, Sushi, Biryani, Desserts, Beverages",3.9,"₹3,500 for two",1.8 km,"Rakabganj, Agra",Agra
Bapu Dhaba,North Indian,3.2,₹400 for two,4.1 km,"Kuberpur, Agra",Agra
Spicy Cottage Cafe & Restaurant,"South Indian, Pizza, Sandwich, Fast Food, Shake, Chinese, Beverages",-,₹300 for two,7.9 km,"Sikandra, Agra",Agra
Apna Zaika Restaurant & Cafe,"North Indian, South Indian, Chinese, Street Food, Pizza, Burger, Fast Food, Shake",New,₹300 for two,4 km,"Khandari, Agra",Agra
Play Safari Cafe,"Italian, Chinese, North Indian, Beverages",4.5,₹500 for two,2.9 km,"Civil Lines, Agra",Agra
Lakshmi Vilas,"South Indian, Chinese, Tea, Shake, Desserts",3.9,₹500 for two,2.4 km,"Agra Cantt, Agra",Agra
Ram Chinese Food Corner,Chinese,-,₹300 for two,2.5 km,"Civil Lines, Agra",Agra
Waffle World,"Waffle, Desserts, Beverages",-,₹400 for two,5.7 km,"Lohamandi, Agra",Agra
Liquid Lounge Bar - Taj Hotel & Convention Centre,Finger Food,4.3,"₹2,500 for two",4.3 km,"Taj Hotel & Convention Centre, Tajganj, Agra",Agra
Food Stock Xchange,"Chinese, Rolls, North Indian, Biryani, Mughlai, Fast Food",4,"₹1,000 for two",3.8 km,"Tajganj, Agra",Agra
Sky Grill - Grand Mercure (An Accor Hotel),"North Indian, Continental, Beverages",4.2,"₹3,200 for two",3.8 km,"Crystal Sarovar Premier, Tajganj, Agra",Agra
Bullet Adda,"Continental, Fast Food, Beverages, Desserts, North Indian, Chinese",4.1,"₹1,300 for two",6.3 km,"Sikandra, Agra",Agra
Mama  Bhojanalya,"Healthy Food, North Indian, Fast Food",-,₹400 for two,4.8 km,"Kamla Nagar, Agra",Agra
Yadav Dhaba,North Indian,4,₹200 for two,2.8 km,"Lohamandi, Agra",Agra
Kuvira Tea And Cafe,"Burger, Pizza, Sandwich, Fast Food, Street Food, Tea, Shake, Beverages",-,₹200 for two,3.9 km,"Trans Yamuna, Agra",Agra
Bistro OG,"Pizza, Burger, Sandwich, Fast Food, Street Food, Ice Cream, Shake, Beverages",-,₹350 for two,4.4 km,"Tajganj, Agra",Agra
What The Food,"Chinese, Rolls, Momos, Burger, Fast Food, Shawarma",3.5,₹400 for two,3.5 km,"Civil Lines, Agra",Agra
Chimmanlal Puri Wale-Chhoti Dukaan,"North Indian, Street Food",4.7,₹200 for two,417 m,"Mantola, Agra",Agra
D Jail House Restaurant,"Awadhi, Chinese, Mughlai, North Indian, Beverages",3.9,"₹1,000 for two",7.2 km,"Sikandra, Agra",Agra
Agarwal Restaurant Sweets And Dairy,"North Indian, South Indian, Fast Food, Desserts, Chinese, Beverages",4,₹500 for two,6 km,"Shahganj, Agra",Agra
Sips And Bites,"Sandwich, Burger, Pizza, Fast Food, Shake, North Indian",3.8,₹300 for two,3.2 km,"Lohamandi, Agra",Agra
Sher - E - Punjab Restaurant,North Indian,4.1,₹600 for two,3.3 km,"Kamla Nagar, Agra",Agra
Deviram Sweets & Food Plaza,"Mithai, North Indian, Fast Food, Chinese, South Indian, Biryani",4,₹450 for two,4 km,"Tajganj, Agra",Agra
Krishiv Khana Khazana,"North Indian, Chinese, South Indian, Fast Food, Shake, Beverages",New,₹350 for two,4.8 km,"Dayal Bagh, Agra",Agra
Tomars Hygiene Kitchen,"North Indian, Mughlai",4.1,₹600 for two,3.2 km,"Tajganj, Agra",Agra
Soami's Rasoi,"North Indian, Chinese, Fast Food, South Indian",4.2,"₹1,000 for two",4 km,"Dayal Bagh, Agra",Agra
Tirupati's Dosa Factory,"South Indian, Chinese, Beverages",4.1,₹500 for two,3.1 km,"Civil Lines, Agra",Agra
Tapas - Jaypee Palace Hotel,"North Indian, Finger Food, Bar Food, Beverages",3.9,"₹2,000 for two",4.4 km,"Jaypee Palace Hotel, Tajganj, Agra",Agra
Apna Zaika Restaurant And Cafe,"North Indian, South Indian, Chinese, Pizza, Fast Food, Street Food, Shake, Beverages",New,₹300 for two,4 km,"Khandari, Agra",Agra
Awadhi Foods,"North Indian, Rolls, Mughlai",4.2,₹400 for two,2.5 km,"Civil Lines, Agra",Agra
BON BARBECUE,"North Indian, Chinese, Continental, Seafood, Desserts",4.2,"₹1,600 for two",4.2 km,"Tajganj, Agra",Agra
Mero Vrindavan Fast Foods,Fast Food,New,₹300 for two,2.3 km,"Lohamandi, Agra",Agra
3 Idiots Family Restaurant,"North Indian, Chinese, Pizza, Fast Food, Street Food, Beverages",New,₹400 for two,4.4 km,"Gopal Pura, Agra",Agra
Moon Light Punjabi Restaurant,"North Indian, South Indian, Chinese",4.1,₹300 for two,7.3 km,"Sikandra, Agra",Agra
Shree Balaji Maharaj Dhaba & Family Restaurant,North Indian,New,₹300 for two,3.8 km,"Trans Yamuna, Agra",Agra
Hotel Jai Hind & Restaurant,"North Indian, Mughlai, Fast Food",4.3,₹500 for two,2.6 km,"Agra Cantt, Agra",Agra
Rose Bud Cafe,"Fast Food, Pizza, Burger, Sandwich, Wraps, Pasta, Beverages, Bakery",-,₹400 for two,5.7 km,"Lohamandi, Agra",Agra
Taj Bano - ITC Mughal,"Mughlai, North Indian",4.1,"₹3,000 for two",3.2 km,"ITC Mughal, Tajganj, Agra",Agra
The Royal Bistro,"North Indian, Shake, Beverages",3.9,₹300 for two,3.3 km,"Civil Lines, Agra",Agra
Yadav Dhaba,North Indian,3.3,₹350 for two,2.8 km,"Civil Lines, Agra",Agra
The Park Restaurant,"North Indian, Chinese, Continental, Mughlai, Beverages, Biryani",3.5,₹800 for two,2.5 km,"Agra Cantt, Agra",Agra
Sheesh Mahal - Mansingh Palace,"North Indian, Chinese, Continental",3.8,"₹1,800 for two",2.5 km,"Mansingh Palace, Tajganj, Agra",Agra
Celebration Restaurant,"Chinese, North Indian, Street Food, South Indian, Desserts, Continental, Pizza, Beverages",3.9,"₹1,000 for two",3.9 km,"Kamla Nagar, Agra",Agra
Ashoka Bar,North Indian,4.4,"₹1,000 for two",2.7 km,"Civil Lines, Agra",Agra
Zaaki Crystal Club And restaurant,"North Indian, Beverages, Chinese, Street Food",-,₹600 for two,3.8 km,"Kamla Nagar, Agra",Agra
Maa Vaishno Restaurant,North Indian,3.8,₹300 for two,5.4 km,"Tajganj, Agra",Agra
Romo's Junction,"North Indian, Pizza, Chinese, Momos, Rolls",3.2,₹400 for two,7 km,"Sikandra, Agra",Agra
The Charcoal Chimney Restaurant,"North Indian, Chinese, Fast Food",-,"₹1,100 for two",3.7 km,"Tajganj, Agra",Agra
Mughchi Mughlai & Chinese,"North Indian, Mughlai",-,"₹1,000 for two",1.2 km,"Civil Lines, Agra",Agra
Ravi Patties & Mocktail Point,Street Food,4.1,₹100 for two,3.3 km,"Lohamandi, Agra",Agra
Sri Dauji's Chatpataa,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts",3.9,₹500 for two,3.5 km,"Kamla Nagar, Agra",Agra
Shalimar Dhaba Veg And Non Veg,"Mughlai, North Indian",-,₹500 for two,3.9 km,"Trans Yamuna, Agra",Agra
Bhagat Halwai,"Mithai, Fast Food, North Indian",3.9,₹300 for two,4.6 km,"Khandari, Agra",Agra
Shubh Anand Hi Anand Bhojnalaya,North Indian,3.6,₹250 for two,2.7 km,"Civil Lines, Agra",Agra
Dosa Factory,South Indian,3.5,₹300 for two,6.9 km,"Sikandra, Agra",Agra
Gyani Dhaba,North Indian,3.7,₹200 for two,5.9 km,"Dayal Bagh, Agra",Agra
Sardar Ji Da Dhaba,North Indian,3.7,₹400 for two,3.4 km,"Agra Cantt, Agra",Agra
Manohar Lal Daulat Ram Garg Gajak Wale,Mithai,4,₹300 for two,5.6 km,"Sikandra, Agra",Agra
Ratan Pizza,"Pizza, Fast Food, Bakery",4,₹500 for two,3.3 km,"Khandari, Agra",Agra
Spicy Wonder,"North Indian, Fast Food, Chinese, Continental",3.7,₹700 for two,3.3 km,"Kamla Nagar, Agra",Agra
Level 4 Rooftop,"North Indian, Continental, Pizza, Asian, Beverages",4,₹600 for two,4.3 km,"Tajganj, Agra",Agra
The Momo Corner,"Momos, Chinese, Beverages",4.2,₹300 for two,3.8 km,"Kamla Nagar, Agra",Agra
THK- Tomars Hygiene Kitchen,"North Indian, Biryani, Chinese",3.9,₹900 for two,3.3 km,"Tajganj, Agra",Agra
Pizza Hub,"Pizza, Fast Food",4.2,₹300 for two,4 km,"Shahganj, Agra",Agra
Roofmates,"North Indian, Chinese, Kebab, Biryani, Fast Food, BBQ, Street Food",4.2,"₹1,100 for two",7.2 km,"Sikandra, Agra",Agra
Jam House Cafe,"Cafe, Fast Food",3.9,₹500 for two,3.1 km,"Tajganj, Agra",Agra
Daddy Plz,"North Indian, Fast Food, Chinese, Momos, South Indian, Shake, Beverages",3.8,₹400 for two,6.4 km,"Shahganj, Agra",Agra
The Big Bun,"Fast Food, Burger, Desserts, Bakery",3.4,₹300 for two,3.6 km,"Civil Lines, Agra",Agra
Pape Ka Dhabha,"North Indian, Mughlai",4.3,₹350 for two,910 m,"Mantola, Agra",Agra
Shankara Vegis Restaurant,"North Indian, Fast Food, Desserts, Juices, Shake",3.2,₹400 for two,2.5 km,"Tajganj, Agra",Agra
Kings Spoon - Bhawna Clarks Inn,"North Indian, Chinese, Continental",3.3,"₹1,500 for two",5.6 km,"Sikandra, Agra",Agra
The Divine Delight,"Chinese, South Indian, Continental, North Indian, Beverages",3.7,"₹1,000 for two",4.6 km,"Khandari, Agra",Agra
Cafe Coffee Day,"Cafe, Coffee, Tea, Fast Food, Desserts, Beverages, Sandwich, Shake",3.5,₹750 for two,2.8 km,"Civil Lines, Agra",Agra
Onyx Bar,"Bar Food, Coffee",-,"₹3,500 for two",4.7 km,"Tajganj, Agra",Agra
Tea Coffee And Snacks,"North Indian, Fast Food, Street Food, Beverages",4.1,₹400 for two,3.2 km,"Lohamandi, Agra",Agra
Om Sai Food Court,"Fast Food, Street Food",3.7,₹100 for two,5.9 km,"Dayal Bagh, Agra",Agra
The Bar- The Oberoi Amarvilas,"Bar Food, North Indian",-,"₹4,000 for two",3.2 km,"Tajganj, Agra",Agra
Om Restaurant,"North Indian, South Indian",3.8,₹250 for two,1.5 km,"Rakabganj, Agra",Agra
TOS - Taste Of Shawarma,"Shawarma, Fast Food",3.6,₹300 for two,3.3 km,"Civil Lines, Agra",Agra
The Orbit Gastro Pub,"North Indian, Mughlai, Continental, Biryani, Chinese, Sushi, Momos, Desserts",New,"₹1,000 for two",7 km,"Sikandra, Agra",Agra
Dilshad Biryani,Biryani,4.2,₹300 for two,1.8 km,"Mantola, Agra",Agra
Esphahan - The Oberoi Amarvilas,"North Indian, Biryani, Desserts, Kebab",4.9,"₹5,800 for two",3.3 km,"The Oberoi Amarvilas, Tajganj, Agra",Agra
Panchi Petha,Mithai,3.6,₹400 for two,4.4 km,"Tajganj, Agra",Agra
Om Sai Ram Bhojnalaya,North Indian,3.5,₹200 for two,5.2 km,"Khandari, Agra",Agra
The Greener Side,"Cafe, Fast Food, Burger, Sandwich, Desserts, Beverages, Waffle",-,₹600 for two,2.9 km,"Khandari, Agra",Agra
First Floor Cafe,"Coffee, Shake, Desserts, Beverages",3.9,₹500 for two,3.9 km,"Khandari, Agra",Agra
Good Vibes Cafe,"North Indian, Mughlai, Street Food, Fast Food, Continental, Desserts, Beverages",3.2,₹400 for two,3.8 km,"Tajganj, Agra",Agra
Shayhub,"Fast Food, Beverages, Pizza, Sandwich",4,₹200 for two,3.8 km,"Kamla Nagar, Agra",Agra
Cafe Double Shot,"Cafe, Coffee, Fast Food, Beverages, Chinese",4.2,₹600 for two,1.4 km,"Rakabganj, Agra",Agra
Sapna Bar-Be-Que,"North Indian, Rolls, Beverages",3.9,₹500 for two,2.8 km,"Tajganj, Agra",Agra
Om Bhojanalaya,North Indian,4,₹400 for two,2.5 km,"Agra Cantt, Agra",Agra
Metro Bar,Bar Food,3.9,"₹1,500 for two",2.7 km,"Hotel Metro, Civil Lines, Agra",Agra
Chota Mama Chicken & Mama Veg,"North Indian, Chinese, Rolls, Biryani, Mughlai",3.2,₹500 for two,7 km,"Sikandra, Agra",Agra
New Pari Family Restaurant,North Indian,2.5,₹300 for two,7.6 km,"Sikandra, Agra",Agra
Satkar Pastries,"Pizza, Desserts, Fast Food",3.8,₹400 for two,2.4 km,"Civil Lines, Agra",Agra
Labbaik Chicken Corner,"North Indian, Mughlai",3.8,₹600 for two,1.8 km,"Mantola, Agra",Agra
Qaisar Bagh Restaurant,"North Indian, Mughlai, Chinese, Continental, Fast Food",4,"₹1,400 for two",2.2 km,"Tajganj, Agra",Agra
Hunger Point Cafe And Restaurant,"North Indian, Sandwich, Pizza, Burger, Rolls, Fast Food, Street Food, Beverages",4,₹300 for two,3.5 km,"Tajganj, Agra",Agra
The Chef's Club,"North Indian, South Indian, Mughlai, Chinese, Continental, Fast Food, Desserts, Beverages",3.8,"₹1,100 for two",4.3 km,"Tajganj, Agra",Agra
Cake & More,"Shake, Fast Food, Beverages, Pizza, Desserts",3.9,₹400 for two,3.9 km,"Kamla Nagar, Agra",Agra
Nijam Khan Chicken Biryani Shop,Biryani,3.5,₹200 for two,5.3 km,"Agra Cantt, Agra",Agra
The Tea Lounge - Jaypee Palace Hotel,Tea,3.8,"₹1,300 for two",4.2 km,"Jaypee Palace Hotel, Tajganj, Agra",Agra
Ekaa Villa,North Indian,4.3,₹700 for two,4.3 km,"Tajganj, Agra",Agra
Bhagwati Dhaba,North Indian,4,₹200 for two,9.7 km,"Sikandra, Agra",Agra
Deviram Royal Restaurant,"North Indian, Chinese, Fast Food, Beverages, Continental",3.7,₹400 for two,1.8 km,"Rakabganj, Agra",Agra
Sher-E-Punjab Dhaba,"North Indian, Beverages, Street Food",4.1,₹300 for two,4 km,"Tajganj, Agra",Agra
Giani Ice Cream,"Desserts, Ice Cream",4.8,₹300 for two,2.5 km,"Agra Cantt, Agra",Agra
Yadav Dhaba Purana,North Indian,3.9,₹300 for two,2.7 km,"Civil Lines, Agra",Agra
Navratan Fast Food & Restaurant,"North Indian, South Indian, Fast Food, Shake, Street Food, Beverages",4.1,₹500 for two,4 km,"Khandari, Agra",Agra
Anjali's Kitchen,"North Indian, Chinese, Fast Food",3.6,₹300 for two,8.4 km,"Sikandra, Agra",Agra
Flavours Restaurant,"North Indian, Chinese, Fast Food, South Indian, Desserts",4.2,"₹1,000 for two",2.6 km,"Civil Lines, Agra",Agra
Brijwasi Sweet House & Restaurant,"North Indian, Chinese, South Indian, Desserts, Mithai, Beverages",3.7,₹500 for two,2.5 km,"Agra Cantt, Agra",Agra
First Chai,"Tea, Street Food, Fast Food, Shake",4,₹400 for two,7.7 km,"Sikandra, Agra",Agra
Parinda Sky Disc And Lounge,"North Indian, Mughlai, Chinese, Fast Food",3.9,"₹1,500 for two",5.9 km,"Khandari, Agra",Agra
Laziz Pizza,"Pizza, Burger, Fast Food",3.6,₹350 for two,3.3 km,"Civil Lines, Agra",Agra
Pizza Star - The Italian Food Corner,"Pizza, Fast Food",3.8,₹400 for two,6.5 km,"Shahganj, Agra",Agra
Pizza Pasta Day,"Pizza, Pasta, Fast Food, Beverages",3.8,₹300 for two,3.8 km,"Tajganj, Agra",Agra
Baskin Robbins - Ice Cream Desserts,"Ice Cream, Desserts, Beverages",3.6,₹400 for two,4 km,"Khandari, Agra",Agra
Sathvik Padukone South Indian Dosa Corner,South Indian,3.7,₹200 for two,3.2 km,"Agra Cantt, Agra",Agra
Panchhi Petha Namkeen,"Mithai, Desserts",3.9,₹200 for two,8.7 km,"Tajganj, Agra",Agra
The Briston Kitchen,"North Indian, Fast Food, Chinese, Momos",3.9,₹600 for two,3.5 km,"Tajganj, Agra",Agra
Hotel Poonam Plaza,"North Indian, Chinese",4,"₹1,200 for two",4.1 km,"Dayal Bagh, Agra",Agra
EATCO.,"North Indian, Fast Food, Mughlai, Rolls, Shawarma",3.6,₹350 for two,3.7 km,"Khandari, Agra",Agra
Nandani Red Crystal Restaurant,"South Indian, North Indian, Chinese, Continental, Fast Food, Street Food, Beverages",4.1,₹450 for two,9.8 km,"Sikandra, Agra",Agra
Goverdhan Bakery,"Bakery, Fast Food, Desserts",4.4,₹400 for two,3.1 km,"Shahganj, Agra",Agra
Savoury Street Food,"South Indian, North Indian, Chinese, Shake",3.8,₹350 for two,4.2 km,"Shahganj, Agra",Agra
Chizza & Pizza,"Pizza, Burger, Sandwich, Rolls, Pasta, Fast Food",3.9,₹500 for two,3.3 km,"Tajganj, Agra",Agra
Ichchha Veg Biryani & Fast Food,Biryani,3.9,₹100 for two,5.7 km,"Lohamandi, Agra",Agra
The Masterchef Restaurant,"Street Food, Fast Food, Italian",3.7,₹700 for two,2.5 km,"Tajganj, Agra",Agra
Al Barkat Family Restaurant,"North Indian, Rolls, Chinese",-,₹700 for two,3.5 km,"Tajganj, Agra",Agra
Talk Of The Town,"North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages",3.6,"₹1,400 for two",2.7 km,"Kamla Nagar, Agra",Agra
Kebab - E - Que,"Kebab, North Indian, Mughlai, Biryani, Desserts, Beverages",4.3,"₹3,000 for two",4.3 km,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra",Agra
Gaurav Chinese Corner,Chinese,4,₹150 for two,2.6 km,"Civil Lines, Agra",Agra
Cake House,"Bakery, Fast Food, Beverages",3.6,₹400 for two,3.8 km,"Kamla Nagar, Agra",Agra
Honeydew Restaurant,"North Indian, Chinese, South Indian, Street Food",4.1,₹400 for two,4.8 km,"Dayal Bagh, Agra",Agra
Mama Mutton Chicken Bhandhar,North Indian,3.7,₹200 for two,5.1 km,"Khandari, Agra",Agra
Wahid Biryani,"Biryani, North Indian, Mughlai",3.6,₹400 for two,2.2 km,"Tajganj, Agra",Agra
Shree Dauji Sweets,"Mithai, Street Food, Fast Food, North Indian",4.1,₹200 for two,3.9 km,"Kamla Nagar, Agra",Agra
Pandit Bhojnalaya,North Indian,3.4,₹350 for two,5.2 km,"Khandari, Agra",Agra
Mark's Cafe,"Chinese, Fast Food, Waffle, Desserts, Shake",3.4,₹600 for two,2.6 km,"Civil Lines, Agra",Agra
Playdium,"Fast Food, Chinese, Beverages, Shake, Desserts",3.6,₹500 for two,4.1 km,"Khandari, Agra",Agra
Solanki Petiz,Fast Food,-,₹100 for two,5.1 km,"Tajganj, Agra",Agra
Bhagat Halwai,"North Indian, Mithai, Street Food",2.9,₹500 for two,6.8 km,"Sikandra, Agra",Agra
Anokhe Paratha,North Indian,3.8,₹200 for two,3 km,"Tajganj, Agra",Agra
Rendezvous - Hotel Howard Plaza,"North Indian, Chinese, Continental, Mughlai, Desserts, Beverages",3.9,"₹2,000 for two",2.5 km,"Hotel Howard Plaza, Tajganj, Agra",Agra
Culinary Junction By Udupi,"North Indian, South Indian, Continental, Beverages",4.2,₹800 for two,4.3 km,"Tajganj, Agra",Agra
The Bar - Trident Hotel,Finger Food,3.9,"₹2,000 for two",4.3 km,"Trident Hotel, Tajganj, Agra",Agra
Meet N Eat,"Fast Food, Chinese, Beverages",3.8,₹400 for two,5.8 km,"Dayal Bagh, Agra",Agra
"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food",3.3,₹400 for two,5.5 km,"Lohamandi, Agra",Agra
Lights Out - Lounge & Roofpark,"Bar Food, Finger Food, North Indian, Chinese, Continental, BBQ, Italian",4.1,"₹1,400 for two",2.5 km,"Civil Lines, Agra",Agra
Badlav Chai Point,"Fast Food, Beverages, Tea, Coffee, Burger, Shake, Sandwich",3.7,₹300 for two,2.6 km,"Civil Lines, Agra",Agra
Bhagya Ratan Food Circle,"North Indian, South Indian, Street Food, Chinese",3.5,₹400 for two,7.2 km,"Sikandra, Agra",Agra
Badlav Chai Point,"Tea, Coffee, Shake, Beverages, Pizza, Sandwich, Fast Food, Street Food",3.5,₹300 for two,4.3 km,"Gopal Pura, Agra",Agra
Pushpak Misthan Bhandar Sweets And Snack,Mithai,-,₹300 for two,1.6 km,"Civil Lines, Agra",Agra
Jenith Fast Food,"North Indian, South Indian, Continental",3,₹300 for two,600 m,"Mantola, Agra",Agra
Gupta Ji Dhaba & Veg Briyani,North Indian,3.8,₹500 for two,7.2 km,"Sikandra, Agra",Agra
Hangout - The Lounge Bar,"Finger Food, Chinese, North Indian, Oriental, Continental, Desserts, Beverages",3.9,"₹1,500 for two",5.6 km,"Lohamandi, Agra",Agra
Tiwari Bombay Style Bhel And Panipuri,Street Food,3.8,₹100 for two,2.5 km,"Agra Cantt, Agra",Agra
Silver Spoon,"North Indian, Chinese, Continental, Pizza",4.4,₹950 for two,4 km,"Tajganj, Agra",Agra
Laziz Family Restaurant,North Indian,3.1,₹500 for two,1.9 km,"Mantola, Agra",Agra
Khan Sahab Restaurant,"North Indian, Mughlai, Chinese, Biryani, Beverages",3.5,₹600 for two,2.5 km,"Tajganj, Agra",Agra
Dandigul Food Circle,"Biryani, South Indian, Chinese, Street Food",4,₹200 for two,4.6 km,"Khandari, Agra",Agra
Bansal Sweets,Mithai,3.9,₹250 for two,3.2 km,"Shahganj, Agra",Agra
SUMAC - Hotel Royale Regent,"North Indian, Continental, Fast Food, Oriental, Desserts, Beverages",3.9,"₹1,400 for two",5.4 km,"Tajganj, Agra",Agra
Chacha Ji Ka Dhaba,"North Indian, Mughlai",3.9,₹500 for two,2.8 km,"Lohamandi, Agra",Agra
Bamboo Cafe,"North Indian, Chinese, Street Food, Sandwich, Fast Food",3,₹500 for two,3.8 km,"Tajganj, Agra",Agra
Chennai Kings,"South Indian, Sandwich, Fast Food, Beverages, Desserts, Burger, Chinese",3.9,₹500 for two,4.1 km,"Dayal Bagh, Agra",Agra
Pandit Bhojnalaya,"North Indian, South Indian, Chinese",3.8,₹350 for two,5.2 km,"Khandari, Agra",Agra
Cafe Hideout,"North Indian, Chinese, Continental, Biryani, BBQ, Coffee, Pizza, Pasta",-,₹600 for two,5.7 km,"Sikandra, Agra",Agra
Winni Cakes And More,"Bakery, Desserts, Pizza, Sandwich, Wraps, Pasta, Waffle",3.9,₹500 for two,7.5 km,"Sikandra, Agra",Agra
Rolls Cavalry,"Fast Food, Rolls, Chinese, North Indian, Momos, Shake, Sichuan",4.5,₹200 for two,3.9 km,"Lohamandi, Agra",Agra
Pandit Ji Bhojhnalaya,North Indian,3.3,₹300 for two,11 km,"Sikandra, Agra",Agra
Desire Bakers,"Bakery, Desserts",4,₹300 for two,3.2 km,"Kamla Nagar, Agra",Agra
Anna Samrat Restaurant,"South Indian, North Indian, Chinese, Ice Cream, Beverages",3.9,₹600 for two,3.8 km,"Kamla Nagar, Agra",Agra
New Pushpak Misthan Bhandar,"Mithai, Street Food",3.7,₹400 for two,1.2 km,"Rakabganj, Agra",Agra
Brijwasi Sweet House,"Mithai, Desserts",3.7,₹400 for two,5.9 km,"Dayal Bagh, Agra",Agra
Jain Bhojnalaya,North Indian,3.8,₹200 for two,5.2 km,"Khandari, Agra",Agra
Healthmafia,"North Indian, Fast Food, South Indian, Momos, Biryani",4.1,₹450 for two,3.9 km,"Trans Yamuna, Agra",Agra
Deshraj Dhaba,"Mughlai, Biryani",3.9,₹400 for two,954 m,"Civil Lines, Agra",Agra
Square 99 Scoops & Cafe,"Chinese, North Indian, Fast Food",3.9,₹300 for two,4.5 km,"Shahganj, Agra",Agra
Apna Cafe,"Fast Food, Pizza, Street Food, Chinese, Desserts, Shake, Coffee, Beverages",3.4,₹400 for two,2.6 km,"Tajganj, Agra",Agra
"Daawat-E-Nawab - Taj Hotel & Convention Centre, Tajganj","North Indian, Mughlai, Kebab, Biryani",4.3,"₹2,800 for two",4.3 km,"Taj Hotel & Convention Centre, Tajganj, Agra",Agra
Pandit Ji Shudh Shakahari Bhojnalaya,North Indian,3.7,₹400 for two,4.6 km,"Dayal Bagh, Agra",Agra
Shri Krishna Bhojanalaya,North Indian,3.3,₹400 for two,2.7 km,"Civil Lines, Agra",Agra
Royal Rolls,"Rolls, Fast Food, Beverages, Pizza, Burger",3.7,₹350 for two,4.4 km,"Tajganj, Agra",Agra
Hungernomia,"Burger, Fast Food, Pizza, Sandwich, Wraps, Beverages, Italian",3.9,₹500 for two,2.5 km,"Civil Lines, Agra",Agra
Sri Dauji Restaurant,"Mithai, Street Food",3.6,₹300 for two,3.9 km,"Kamla Nagar, Agra",Agra
Agarwal Sweets & Dairy,"Mithai, Street Food",3.8,₹250 for two,6 km,"Shahganj, Agra",Agra
Munna Dhaba,North Indian,3.6,₹500 for two,3.9 km,"Arjun Nagar, Agra",Agra
Spice Aroma,"North Indian, Fast Food, Beverages",3.5,₹300 for two,4.3 km,"Arjun Nagar, Agra",Agra
Chatorelal Food Court,"South Indian, Chinese, Fast Food, Street Food, North Indian, Momos",2.7,₹250 for two,4 km,"Agra Cantt, Agra",Agra
Momo Cartel,"Momos, Chinese, Shake",3.8,₹350 for two,5.8 km,"Sikandra, Agra",Agra
Shiva Bhojnalaya,North Indian,2.7,₹300 for two,5.2 km,"Khandari, Agra",Agra
Jawahar Hotel,North Indian,3.8,₹300 for two,3.8 km,"Dayal Bagh, Agra",Agra
What The Frozen,"Italian, Continental, Pasta, Healthy Food, Shake, Burger, Sandwich, Wraps",3.8,₹350 for two,3.7 km,"Khandari, Agra",Agra
New Vishal Dhaba,"Momos, Chinese, Street Food, South Indian, North Indian",3.9,₹450 for two,3.7 km,"Khandari, Agra",Agra
Vada Pav King,"Fast Food, Street Food, Beverages",3.7,₹350 for two,4.1 km,"Shahganj, Agra",Agra
Shiva Dhaba,"North Indian, Mughlai",3.8,₹500 for two,2 km,"Civil Lines, Agra",Agra
Dear Shoppy,"Fast Food, Sichuan",4.1,₹200 for two,4.6 km,"Khandari, Agra",Agra
Baba Chicken Mutton,"Mughlai, North Indian",4,₹500 for two,6.8 km,"Sikandra, Agra",Agra
Shyam Ji Restaurant,"North Indian, Chinese, South Indian, Desserts, Ice Cream, Beverages",3.9,₹500 for two,3.8 km,"Arjun Nagar, Agra",Agra
