Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Fat Boys Cafe,"Sandwich, Pizza, Fast Food, Chinese, Momos, Pancake, Shake, Beverages",3.7,200.0,2.3,"Agra Cantt, Agra",Agra
Haldiram's,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai, Beverages",4.2,200.0,4.0,"Khandari, Agra",Agra
Newcastle Cafe & Restaurant,"North Indian, Fast Food, Chinese, Kebab, Sushi, Seafood, Pizza, Pasta",4.4,550.0,5.8,"Sikandra, Agra",Agra
Food Adda,"Burger, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,200.0,5.4,"Khandari, Agra",Agra
The Mud Cafe,"Sandwich, Momos, Burger, Fast Food, Beverages, Desserts",3.3,350.0,2.6,"Civil Lines, Agra",Agra
Raj Rasoi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, Shake",4.2,300.0,2.6,"Civil Lines, Agra",Agra
Sour N Spicy,"North Indian, Chinese, Street Food, Beverages, Desserts",3.9,500.0,2.2,"Tajganj, Agra",Agra
Bellevue - The Oberoi Amarvilas,"North Indian, Continental, Desserts",4.2,2250.0,3.3,"The Oberoi Amarvilas, Tajganj, Agra",Agra
North 27,"North Indian, Chinese, Continental, Oriental, Fast Food, Mughlai, Beverages, Desserts",4.0,1900.0,4.3,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra",Agra
Delhi 6,"North Indian, Street Food",4.1,75.0,2.7,"Civil Lines, Agra",Agra
Bhagat Halwai,"Mithai, Street Food, Pizza, Sandwich, Chinese, South Indian, Shake, Beverages",4.1,150.0,3.3,"Civil Lines, Agra",Agra
The Curry Station,"North Indian, Chinese, Mughlai",3.9,300.0,3.2,"Lohamandi, Agra",Agra
Chokho Jeeman Marwari Jain Bhojanalya,Rajasthani,4.3,200.0,2.7,"Civil Lines, Agra",Agra
Hotel Orange,"Chinese, North Indian, Mughlai, Biryani, Desserts, Beverages",4.6,600.0,1.8,"Rakabganj, Agra",Agra
Lattice - Grand Mercure (An Accor Hotel),"North Indian, Continental, Chinese",3.9,500.0,3.8,"Crystal Sarovar Premier, Tajganj, Agra",Agra
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",3.9,250.0,2.7,"Civil Lines, Agra",Agra
